method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,q5,0.5%,None,MAL,72,M0,0.7375745576520742,0.012292339332548414
sim,q5,0.5%,None,MAL,72,M1,0.013686416504537417,4.289092663278127e-4
sim,q5,0.5%,None,MAL,72,M2,0.038653257860016235,0.0022714327023630443
sim,q5,0.5%,None,MAL,72,M3,0.026413981813607,0.0015057032734562654
sim,q5,0.5%,None,MAL,72,M4,0.19038621879473872,0.003796045415291412
sim,glc2,21%,None,PYR,24,M0,0.8389646355182683,0.022531454635657214
sim,glc2,21%,None,PYR,24,M1,0.004694723029921512,4.542893608796127e-4
sim,glc2,21%,None,PYR,24,M2,0.15592333491749694,0.0219171288284638
sim,glc2,21%,None,PYR,24,M3,2.521836695987125e-4,8.013816242365013e-5
sim,glc2,21%,None,PYR,48,M0,0.7593170502408217,0.0052394177281947195
sim,glc2,21%,None,PYR,48,M1,0.007400868206383313,1.81562669123569e-4
sim,glc2,21%,None,PYR,48,M2,0.23199772200480126,0.005141691724583804
sim,glc2,21%,None,PYR,48,M3,0.001284359547993649,7.749197764355889e-5
sim,glc2,21%,None,PYR,72,M0,0.6820982771844025,0.0020586164813037678
sim,glc2,21%,None,PYR,72,M1,0.010338883609043446,1.1993188652112691e-4
sim,glc2,21%,None,PYR,72,M2,0.30556128421637024,0.002205338400084495
sim,glc2,21%,None,PYR,72,M3,0.002001554990183762,1.2045417209000483e-4
sim,glc2,21%,DMSO,PYR,24,M0,0.8180317969029689,0.01593189359783631
sim,glc2,21%,DMSO,PYR,24,M1,0.005422978114835764,5.008341695466973e-4
sim,glc2,21%,DMSO,PYR,24,M2,0.17558685582240882,0.015312233187200791
sim,glc2,21%,DMSO,PYR,24,M3,9.583691597866556e-4,1.188262410888848e-4
sim,glc2,21%,DMSO,PYR,48,M0,0.7153068978931466,0.017698631442486398
sim,glc2,21%,DMSO,PYR,48,M1,0.00934416347373294,1.4889381403443075e-4
sim,glc2,21%,DMSO,PYR,48,M2,0.2734281622950312,0.017501611158958486
sim,glc2,21%,DMSO,PYR,48,M3,0.0019207763380892759,4.812646949332974e-5
sim,glc2,21%,DMSO,PYR,72,M0,0.6790582327618155,0.012451555620813013
sim,glc2,21%,DMSO,PYR,72,M1,0.011655698662690627,2.712000116585327e-5
sim,glc2,21%,DMSO,PYR,72,M2,0.30660723850477023,0.012413935921841117
sim,glc2,21%,DMSO,PYR,72,M3,0.0026788300707235777,1.0499697806042301e-5
sim,glc2,21%,BAY,PYR,24,M0,0.8302887056251658,0.007947692004092566
sim,glc2,21%,BAY,PYR,24,M1,0.005203327433373522,3.944565568898654e-7
sim,glc2,21%,BAY,PYR,24,M2,0.163410814664671,0.007831088279182899
sim,glc2,21%,BAY,PYR,24,M3,0.0010971522767897015,1.1699818146656539e-4
sim,glc2,21%,BAY,PYR,48,M0,0.768619038144721,0.02877016685360023
sim,glc2,21%,BAY,PYR,48,M1,0.007066186514904752,6.918252016239493e-4
sim,glc2,21%,BAY,PYR,48,M2,0.2225995989785502,0.027859492207697845
sim,glc2,21%,BAY,PYR,48,M3,0.001715176361824076,2.1884944427850485e-4
sim,glc2,21%,BAY,PYR,72,M0,0.7425676380125578,0.03612593988293278
sim,glc2,21%,BAY,PYR,72,M1,0.007958108995857076,7.576802982092261e-4
