method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,q5,0.5%,None,CIT,24,M6,1.963301186038319e-20,4.7944757208125523e-20
sim,q5,0.5%,None,CIT,36,M0,0.7431365380941881,0.05171080304459679
sim,q5,0.5%,None,CIT,36,M1,0.0026163637770601736,3.98387588642502e-4
sim,q5,0.5%,None,CIT,36,M2,0.006126780773630968,0.003200169584816422
sim,q5,0.5%,None,CIT,36,M3,0.05337505272782424,0.008138219155422238
sim,q5,0.5%,None,CIT,36,M4,0.04145915098150542,0.015551439854410001
sim,q5,0.5%,None,CIT,36,M5,0.18244111479749348,0.026731857787260383
sim,q5,0.5%,None,CIT,36,M6,-2.165898075011962e-20,2.8805395047944885e-20
sim,q5,0.5%,None,CIT,48,M0,0.718539175661146,0.09186336777918888
sim,q5,0.5%,None,CIT,48,M1,0.0025125716284632393,9.228340902507349e-4
sim,q5,0.5%,None,CIT,48,M2,0.034731815246399005,0.023271675814233114
sim,q5,0.5%,None,CIT,48,M3,0.033431249966415694,0.02070818989759479
sim,q5,0.5%,None,CIT,48,M4,0.030629098393499435,0.012592701820171867
sim,q5,0.5%,None,CIT,48,M5,0.05294385159662906,0.05200641980633108
sim,q5,0.5%,None,CIT,48,M6,-2.511376651959872e-21,2.0553147187401247e-20
fs,glc2,21%,None,FBP,12,M0,0.10299110937113794,0.019905348349572163
fs,glc2,21%,None,FBP,12,M1,7.082940251436886e-21,1.9766100585032523e-19
fs,glc2,21%,None,FBP,12,M2,0.853521741491478,0.028367574250942693
fs,glc2,21%,None,FBP,12,M3,-6.230380418699807e-19,7.069920933286053e-19
fs,glc2,21%,None,FBP,12,M4,0.08358756299767983,0.010162215234560243
fs,glc2,21%,None,FBP,12,M5,0.03200267601377688,0.03038048812706714
fs,glc2,21%,None,FBP,12,M6,-9.815492881567116e-20,4.0572864928804406e-20
fs,glc2,21%,None,FBP,24,M0,0.15483076288098918,0.01432860130957178
fs,glc2,21%,None,FBP,24,M1,-2.0984486756524152e-19,3.111629209657397e-19
fs,glc2,21%,None,FBP,24,M2,0.812081469929896,0.018112294348120405
fs,glc2,21%,None,FBP,24,M3,4.6766067794227595e-20,6.043233589561097e-19
fs,glc2,21%,None,FBP,24,M4,0.09881005906914044,0.002354660413109334
fs,glc2,21%,None,FBP,24,M5,0.009488932601436424,0.009488932601436424
fs,glc2,21%,None,FBP,24,M6,1.0163181510659352e-20,2.3503996758691372e-20
fs,glc2,21%,None,FBP,36,M0,0.11080747489974567,0.016611041450811694
fs,glc2,21%,None,FBP,36,M1,1.482881771881614e-19,4.848426411729917e-20
fs,glc2,21%,None,FBP,36,M2,0.8160913321491254,0.0358750679747966
fs,glc2,21%,None,FBP,36,M3,6.608796054640487e-19,5.891650675979974e-19
fs,glc2,21%,None,FBP,36,M4,0.09848201832804915,0.008134075611624665
fs,glc2,21%,None,FBP,36,M5,0.037451908939985304,0.021848760220493136
fs,glc2,21%,None,FBP,36,M6,-7.209701793097662e-22,1.3078974414601797e-20
fs,glc2,21%,None,FBP,48,M0,0.16158605068931067,0.006771143633088074
fs,glc2,21%,None,FBP,48,M1,-1.6957731555041582e-19,1.3896644275085086e-19
fs,glc2,21%,None,FBP,48,M2,0.725118835591953,0.01470850647511315
fs,glc2,21%,None,FBP,48,M3,8.663245202435116e-5,8.663245202435105e-5
fs,glc2,21%,None,FBP,48,M4,0.10785168588833174,0.018342589215801196
fs,glc2,21%,None,FBP,48,M5,0.03770631498614653,0.03770631498614653
fs,glc2,21%,None,FBP,48,M6,-3.7880734610927855e-20,6.630410117610161e-20
fs,glc2,0.5%,None,FBP,12,M0,0.11112642546027206,0.0017745361373412308
fs,glc2,0.5%,None,FBP,12,M1,-5.957737261329097e-20,1.4854752674054142e-19
fs,glc2,0.5%,None,FBP,12,M2,0.8150804371375737,0.04204138113974085
fs,glc2,0.5%,None,FBP,12,M3,4.8822623451370643e-20,1.4041840351084184e-19
fs,glc2,0.5%,None,FBP,12,M4,0.10124108412580171,8.548608455179191e-4
fs,glc2,0.5%,None,FBP,12,M5,0.010691001682997907,0.010691001682997907
fs,glc2,0.5%,None,FBP,12,M6,-4.96251423359401e-20,1.2292370426535823e-20
fs,glc2,0.5%,None,FBP,24,M0,0.10715381393099226,0.007208194314965447
fs,glc2,0.5%,None,FBP,24,M1,-1.8651185317659842e-19,1.6888671290336473e-19
fs,glc2,0.5%,None,FBP,24,M2,0.8103049818532854,0.052567036451766504
fs,glc2,0.5%,None,FBP,24,M3,2.868845434238893e-19,1.1596034427913902e-19
fs,glc2,0.5%,None,FBP,24,M4,0.10481629246987467,0.004150465417699798
fs,glc2,0.5%,None,FBP,24,M5,0.007984128017024847,0.007984128017024845
fs,glc2,0.5%,None,FBP,24,M6,5.051903743597147e-20,2.4841368446992918e-20
fs,glc2,0.5%,None,FBP,36,M0,0.1254903662667896,0.004364588900643309
fs,glc2,0.5%,None,FBP,36,M1,-1.1948858188353468e-19,2.8740485777482273e-19
fs,glc2,0.5%,None,FBP,36,M2,0.7912650575592098,0.012032413570270665
fs,glc2,0.5%,None,FBP,36,M3,-4.387704150962211e-20,1.281233607904741e-19
fs,glc2,0.5%,None,FBP,36,M4,0.12121713487562343,8.586798004284555e-4
fs,glc2,0.5%,None,FBP,36,M5,5.585239535911377e-4,5.585239535911378e-4
fs,glc2,0.5%,None,FBP,36,M6,3.4353301289653434e-20,2.886414763173578e-20
fs,glc2,0.5%,None,FBP,48,M0,0.14161657259390986,0.005447968029554816
fs,glc2,0.5%,None,FBP,48,M1,-2.8483265754308893e-19,4.212857851736126e-20
fs,glc2,0.5%,None,FBP,48,M2,0.7827514220207255,0.010482026112937618
fs,glc2,0.5%,None,FBP,48,M3,-2.1472337868682248e-19,1.2358317625821454e-19
fs,glc2,0.5%,None,FBP,48,M4,0.11558701738038997,0.013286557564532016
fs,glc2,0.5%,None,FBP,48,M5,4.4303932311631804e-4,3.6815976179555005e-4
fs,glc2,0.5%,None,FBP,48,M6,-3.429472709627303e-20,3.157447353061678e-20
fs,glc6,21%,None,FBP,12,M0,0.01220986484116371,0.003141050483511208
fs,glc6,21%,None,FBP,12,M1,3.3725810592907446e-21,2.2707343046851452e-20
fs,glc6,21%,None,FBP,12,M2,-6.389048123784477e-22,1.0091875358354158e-21
fs,glc6,21%,None,FBP,12,M3,0.04070705371119194,0.003497601739728439
fs,glc6,21%,None,FBP,12,M4,-1.1575821402158991e-20,2.591972044845844e-21
fs,glc6,21%,None,FBP,12,M5,0.11842078040658613,0.04694138423717642
fs,glc6,21%,None,FBP,12,M6,0.8401068074833569,0.043879104299239816
fs,glc6,21%,None,FBP,24,M0,0.009324197940772829,0.0019333866897281384
fs,glc6,21%,None,FBP,24,M1,-6.567631646531204e-21,2.2692467080862055e-21
fs,glc6,21%,None,FBP,24,M2,-1.5362150024621746e-21,1.090900352782063e-20
fs,glc6,21%,None,FBP,24,M3,0.029613453437370565,0.00348974095209326
fs,glc6,21%,None,FBP,24,M4,-1.9722679921322397e-20,3.759705056764213e-20
fs,glc6,21%,None,FBP,24,M5,0.11212127949832855,0.04642057918669262
fs,glc6,21%,None,FBP,24,M6,0.8547585279248477,0.044835710678307356
fs,glc6,21%,None,FBP,36,M0,0.012654562152053113,0.003254348300684914
fs,glc6,21%,None,FBP,36,M1,5.844856531464877e-21,5.417001764435287e-21
fs,glc6,21%,None,FBP,36,M2,-4.866135054024635e-21,3.6835895172900185e-21
fs,glc6,21%,None,FBP,36,M3,0.012189394104084476,0.00532002189876557
fs,glc6,21%,None,FBP,36,M4,-3.1381792157167712e-21,1.64667285961118e-21
fs,glc6,21%,None,FBP,36,M5,0.07122255862182236,0.03200327428124314
fs,glc6,21%,None,FBP,36,M6,0.9105937969592078,0.02478178367133121
fs,glc6,21%,None,FBP,48,M0,0.019509501814825116,0.0011271426354404672
fs,glc6,21%,None,FBP,48,M1,3.6788140932375054e-20,1.4048223153412295e-20
fs,glc6,21%,None,FBP,48,M2,-1.3796161274872112e-21,2.9100852002109137e-21
fs,glc6,21%,None,FBP,48,M3,0.012403376626313542,0.0046262424264183
fs,glc6,21%,None,FBP,48,M4,-8.662951651013539e-21,8.467589779647932e-21
fs,glc6,21%,None,FBP,48,M5,0.050455698909457315,0.007187659908344344
fs,glc6,21%,None,FBP,48,M6,0.9232379380102467,0.0034176833856656634
fs,glc6,0.5%,None,FBP,12,M0,0.0023740793139010487,6.217163982457736e-4
fs,glc6,0.5%,None,FBP,12,M1,-4.023346807000175e-21,6.878606655556445e-21
fs,glc6,0.5%,None,FBP,12,M2,1.0545365288056277e-4,1.0545365288056277e-4
fs,glc6,0.5%,None,FBP,12,M3,0.03627123433447636,0.003998120566301868
fs,glc6,0.5%,None,FBP,12,M4,7.193377269669643e-21,1.5768324598586773e-20
fs,glc6,0.5%,None,FBP,12,M5,0.08716251821248933,0.022050406351621497
fs,glc6,0.5%,None,FBP,12,M6,0.903925102029095,0.013603999620862306
fs,glc6,0.5%,None,FBP,24,M0,0.0039682848055869234,0.001060361738265474
